,DAY_OF_MONTH,DAY_OF_WEEK,OP_UNIQUE_CARRIER,OP_CARRIER,TAIL_NUM,OP_CARRIER_FL_NUM,ORIGIN,DEST,DEP_TIME_BLK,CANCELLED,DIVERTED,DISTANCE,ORIGIN_CITY,ORIGIN_STATE_OR_REGION,ORIGIN_FULL_NAME,GMT_DEP,DEST_CITY,DEST_STATE_OR_REGION,DEST_FULL_NAME,GMT_ARR
449047,22,2,MQ,MQ,N685AE,4045,ORD,DBQ,1500-1559,1.0,0.0,147.0,Chicago,IL,Illinois,6,Dubuque,IA,Iowa,6
449050,22,2,MQ,MQ,N529EA,4049,ORD,ROC,1800-1859,1.0,0.0,528.0,Chicago,IL,Illinois,6,Rochester,NY,New York,5
449051,22,2,MQ,MQ,N529EA,4049,ORD,ROC,1800-1859,1.0,0.0,528.0,Chicago,IL,Illinois,6,Rochester,NY,New York,5
449055,22,2,MQ,MQ,N542EA,4051,SYR,ORD,1100-1159,1.0,0.0,607.0,Syracuse,NY,New York,5,Chicago,IL,Illinois,6
449056,22,2,MQ,MQ,N542EA,4051,SYR,ORD,1100-1159,1.0,0.0,607.0,Syracuse,NY,New York,5,Chicago,IL,Illinois,6
449057,22,2,MQ,MQ,N833AE,4052,BOS,JFK,1400-1459,1.0,0.0,187.0,Boston,MA,Massachusetts,5,New York,NY,New York,5
449058,22,2,MQ,MQ,N807AE,4052,JFK,BOS,1200-1259,1.0,0.0,187.0,New York,NY,New York,5,Boston,MA,Massachusetts,5
449066,22,2,MQ,MQ,N664MS,4060,ORD,TYS,1200-1259,1.0,0.0,475.0,Chicago,IL,Illinois,6,Knoxville,TN,Tennessee,5
449067,22,2,MQ,MQ,N664MS,4060,ORD,TYS,1200-1259,1.0,0.0,475.0,Chicago,IL,Illinois,6,Knoxville,TN,Tennessee,5
449068,22,2,MQ,MQ,N664MS,4060,TYS,ORD,1500-1559,1.0,0.0,475.0,Knoxville,TN,Tennessee,5,Chicago,IL,Illinois,6
449069,22,2,MQ,MQ,N664MS,4060,TYS,ORD,1500-1559,1.0,0.0,475.0,Knoxville,TN,Tennessee,5,Chicago,IL,Illinois,6
449155,22,2,OH,OH,NONE,5412,ROC,DCA,0001-0559,1.0,0.0,296.0,Rochester,NY,New York,5,Washington DC ,DC,District of Columbia,5
449248,22,2,OH,OH,N716PS,5048,ORD,DAY,2200-2259,1.0,0.0,240.0,Chicago,IL,Illinois,6,Dayton,OH,Ohio,5
449249,22,2,OH,OH,N716PS,5048,ORD,DAY,2200-2259,1.0,0.0,240.0,Chicago,IL,Illinois,6,Dayton,OH,Ohio,5
449473,22,2,F9,F9,NONE,412,DEN,ORD,1900-1959,1.0,0.0,888.0,Denver,CO,Colorado,7,Chicago,IL,Illinois,6
449474,22,2,F9,F9,NONE,412,DEN,ORD,1900-1959,1.0,0.0,888.0,Denver,CO,Colorado,7,Chicago,IL,Illinois,6
449475,22,2,F9,F9,NONE,413,JAX,ORD,1500-1559,1.0,0.0,864.0,Jacksonville,FL,Florida,5,Chicago,IL,Illinois,6
449476,22,2,F9,F9,NONE,413,JAX,ORD,1500-1559,1.0,0.0,864.0,Jacksonville,FL,Florida,5,Chicago,IL,Illinois,6
449477,22,2,F9,F9,NONE,1155,MCO,ORD,2100-2159,1.0,0.0,1005.0,Orlando,FL,Florida,5,Chicago,IL,Illinois,6
449478,22,2,F9,F9,NONE,1155,MCO,ORD,2100-2159,1.0,0.0,1005.0,Orlando,FL,Florida,5,Chicago,IL,Illinois,6
449479,22,2,F9,F9,NONE,1419,ORD,LAS,2200-2259,1.0,0.0,1514.0,Chicago,IL,Illinois,6,Las Vegas,NV,Nevada,8
